latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.96414304839757,-67.78772821065668,526.352821883158,351.5035459638386,692.2925466823935,0,1,-48.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963936412899017,-67.7877615442926,545.7439782986767,351.5035459638386,692.2925466823935,0,1,-51.30523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963722428143587,-67.78779606354033,564.106624377886,351.5035459638386,692.2925466823935,0,1,-53.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963501501418392,-67.78783170268665,581.4058148443028,351.5035459638386,692.2925466823935,0,1,-56.3052343651364,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963274053211066,-67.7878683938891,597.6086285226911,351.5035459638386,692.2925466823935,0,1,-58.80523436513639,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963501501418392,-67.78783170268665,581.4058148443028,351.5035459638386,692.2925466823935,0,1,-56.3052343651364,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963722428143587,-67.78779606354033,564.106624377886,351.5035459638386,692.2925466823935,0,1,-53.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963936412899017,-67.7877615442926,545.7439782986767,351.5035459638386,692.2925466823935,0,1,-51.30523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.96414304839757,-67.78772821065668,526.352821883158,351.5035459638386,692.2925466823935,0,1,-48.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963936412899017,-67.7877615442926,545.7439782986767,351.5035459638386,692.2925466823935,0,1,-51.30523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963722428143587,-67.78779606354033,564.106624377886,351.5035459638386,692.2925466823935,0,1,-53.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963501501418392,-67.78783170268665,581.4058148443028,351.5035459638386,692.2925466823935,0,1,-56.3052343651364,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963274053211066,-67.7878683938891,597.6086285226911,351.5035459638386,692.2925466823935,0,1,-58.80523436513639,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963501501418392,-67.78783170268665,581.4058148443028,351.5035459638386,692.2925466823935,0,1,-56.3052343651364,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963722428143587,-67.78779606354033,564.106624377886,351.5035459638386,692.2925466823935,0,1,-53.80523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
-22.963936412899017,-67.7877615442926,545.7439782986767,351.5035459638386,692.2925466823935,0,1,-51.30523436513641,-1,0,0,1.5,-22.96007463000001,-67.78838458,5.403000000999782,0
