latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963139058419372,-67.78778907857016,355.6676702201339,357.36824411064487,497.31970538844666,0,1,-44.77081435722495,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962851817555737,-67.78780333582583,385.1045383546689,357.36824411064487,497.31970538844666,0,1,-49.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962911100350116,-67.78780039330789,379.4414713885535,357.36824411064487,497.31970538844666,0,1,-48.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.962969483476915,-67.7877974954475,373.6644746419988,357.36824411064487,497.31970538844666,0,1,-47.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.963026949152713,-67.7877946431275,367.77530753618976,357.36824411064487,497.31970538844666,0,1,-46.77081435722494,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.96308347987338,-67.78779183721677,361.77576365977075,357.36824411064487,497.31970538844666,0,1,-45.770814357224936,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
