latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,509.20706906598866,0,1,-46.58086065407223,-1,0,0,10.0,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959918048119185,-67.78453741329093,375.2778038175702,269.29257194048853,509.20706906598866,0,1,-46.58086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959925807050915,-67.78521491504353,430.4312490977409,269.29257194048853,509.20706906598866,0,1,-56.58086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959918048119185,-67.78453741329093,375.2778038175702,269.29257194048853,509.20706906598866,0,1,-46.58086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959925807050915,-67.78521491504353,430.4312490977409,269.29257194048853,509.20706906598866,0,1,-56.58086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959918048119185,-67.78453741329093,375.2778038175702,269.29257194048853,509.20706906598866,0,1,-46.58086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992179362122,-67.78486443615293,404.37263860794064,269.29257194048853,509.20706906598866,0,1,-51.58086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
