latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode
-22.959841,-67.786415,20.0,270.0,509.20706906598866,0,1,-49.08086065407225,-1,0,0,10.0,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920640493003,-67.78476374955069,395.95335101938144,269.29257194048853,509.20706906598866,0,1,-50.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992140652476,-67.7848306358188,401.5963081186628,269.29257194048853,509.20706906598866,0,1,-51.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922183398643,-67.78489847119465,407.1185877719581,269.29257194048853,509.20706906598866,0,1,-52.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922970876818,-67.78496723501638,412.5185081541804,269.29257194048853,509.20706906598866,0,1,-53.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922970876818,-67.78496723501638,412.5185081541804,269.29257194048853,509.20706906598866,0,1,-53.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922183398643,-67.78489847119465,407.1185877719581,269.29257194048853,509.20706906598866,0,1,-52.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992140652476,-67.7848306358188,401.5963081186628,269.29257194048853,509.20706906598866,0,1,-51.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920640493003,-67.78476374955069,395.95335101938144,269.29257194048853,509.20706906598866,0,1,-50.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920640493003,-67.78476374955069,395.95335101938144,269.29257194048853,509.20706906598866,0,1,-50.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992140652476,-67.7848306358188,401.5963081186628,269.29257194048853,509.20706906598866,0,1,-51.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922183398643,-67.78489847119465,407.1185877719581,269.29257194048853,509.20706906598866,0,1,-52.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922970876818,-67.78496723501638,412.5185081541804,269.29257194048853,509.20706906598866,0,1,-53.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959923768718216,-67.78503690633957,417.7944247104033,269.29257194048853,509.20706906598866,0,1,-54.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922970876818,-67.78496723501638,412.5185081541804,269.29257194048853,509.20706906598866,0,1,-53.08086065407223,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959922183398643,-67.78489847119465,407.1185877719581,269.29257194048853,509.20706906598866,0,1,-52.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992140652476,-67.7848306358188,401.5963081186628,269.29257194048853,509.20706906598866,0,1,-51.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920640493003,-67.78476374955069,395.95335101938144,269.29257194048853,509.20706906598866,0,1,-50.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95991988553791,-67.78469783276327,390.19143505443117,269.29257194048853,509.20706906598866,0,1,-49.08086065407225,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.959920640493003,-67.78476374955069,395.95335101938144,269.29257194048853,509.20706906598866,0,1,-50.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
-22.95992140652476,-67.7848306358188,401.5963081186628,269.29257194048853,509.20706906598866,0,1,-51.08086065407224,-1,0,0,1.5,-22.959957069999998,-67.78794702999998,5.409000000841843,0
